disease_id,disease_name,context_summary,domain,body_system,symptoms,urgency_classification,recommended_tests,prevalence,disease_synonyms,link,notes,TRUE,Medical Taxonomy (set of specialties/domains),Explanation,,,
,,describing the disease,cardiovascular respiratory Neurology Dermatology Musculoskeletal,,use symptom database from symptom_probabilities.csv,"low, mild, high",Example: ask GP for a blood test,,other names for the disease,,,TRUE,Allergy and Immunology,"Focuses on disorders of the immune system, including allergies, autoimmune diseases, and immune deficiencies.",,,
0,abdominal aortic aneurysm,"An abdominal aortic aneurysm (AAA) is an enlargement or bulge in the part of your aorta that extends through your belly or abdomen (abdominal aorta). The bulge forms in an area where your aorta’s wall has grown weak. Normally, your aorta’s wall is strong and flexible enough to manage the constant pressure of blood your heart pumps out. But various factors like aging, tobacco use and certain medical conditions can weaken your aorta’s wall. When the wall is weak, it can’t handle the forces of blood flow as well it should.",cardiovascular,,"palpitations, burning abdominal pain, arm swelling, shortness of breath, sharp abdominal pain",low,"How is an abdominal aortic aneurysm diagnosed? Since AAAs don’t usually cause symptoms, healthcare providers often diagnose unruptured AAAs through tests ordered for other health conditions. If your provider suspects you have an AAA due to test results or other reasons, they may perform: Abdominal duplex ultrasound . Computed tomography angiogram (CTA) . Screening for abdominal aortic aneurysms Healthcare providers recommend an ultrasound screening for people at risk for an AAA. This imaging test is simple and painless and shows if you have an AAA. If you do, your provider will recommend additional ultrasounds at regular intervals (usually every six to 12 months) to monitor the aneurysm. If it grows too large or you have other risk factors for aneurysm rupture, your provider will recommend surgery. Advertisement","0.797, 0.789, 0.760, 0.760, 0.565",,https://my.clevelandclinic.org/health/diseases/7153-abdominal-aortic-aneurysm,,TRUE,Cardiovascular / Cardiology,"Deals with diseases of the heart and blood vessels, such as heart attacks, hypertension, and heart failure.",,,
1,abdominal hermia,N/A,cardiovascular,,"symptoms of the scrotum and testes, lower abdominal pain, sharp abdominal pain, irregular belly button, upper abdominal pain",low,N/A,"0.751, 0.715, 0.592, 0.567, 0.560",,N/A,,FALSE,Dermatology,"Specializes in conditions affecting the skin, hair, and nails, including infections, rashes, and skin cancer.",,,
2,abscess of nose,N/A,respiratory,,"vomiting, irritable infant, nasal congestion, sore throat, coryza",mild,N/A,"0.807, 0.775, 0.531, 0.531, 0.524",,N/A,,FALSE,Dentistry / Oral Health,"Concerned with the health of the teeth, gums, and oral cavity, including cavities, gum disease, and oral infections.",,,
3,abscess of the lung,N/A,respiratory,,"depressive or psychotic symptoms, shortness of breath, itchy eyelid, cough",mild,N/A,"1.0, 0.894, 0.789, 0.421",,N/A,,FALSE,Endocrinology,"Studies hormone-producing glands and hormonal disorders such as diabetes, thyroid disease, and metabolic conditions.",,,
4,abscess of the pharynx,N/A,respiratory,,"sharp chest pain, headache, throat swelling, sore throat, fever",high,N/A,"0.780, 0.727, 0.695, 0.527, 0.507",,N/A,,FALSE,ENT / Otolaryngology,"Treats conditions of the ear, nose, throat, and related structures of the head and neck.",,,
5,acanthosis nigricans,"This skin disorder results in light-brown-to-black spots. It often happens to otherwise healthy people, but in some cases, it may be a sign of an underlying condition. The markings look like a spot or stain that you might think you can scrub off. But washing will not remove acanthosis nigricans (AN).",dermatology,,"skin growth, acne or pimples, weight gain, skin lesion ",low,"How is acanthosis nigricans diagnosed? Your healthcare provider will talk to you about your symptoms and medical history and perform a physical exam . Often, these steps are enough to diagnose AN. Other tests to diagnose AN include: Blood work, which can help confirm or rule out underlying conditions such as diabetes. Skin biopsy (taking a sample of skin tissue), on rare occasions, if the diagnosis is not straightforward.","0.866, 0.833, 0.633, 0.633",,https://my.clevelandclinic.org/health/diseases/12168-acanthosis-nigricans,,TRUE,Gastroenterology / Hepatology,"Focuses on diseases of the digestive system including the stomach, intestines, liver, pancreas, and gallbladder.",,,
6,ascariasis,"Ascariasis is an infection in your intestines caused by a roundworm called Ascaris lumbricoides ( A. lumbricoides ). Like other parasites, these worms use the body of a host (like a human) to mature into egg-laying adults. The more the worms thrive, the more harm they can cause the host.",dermatology,,"emotional symptoms, swelling of scrotum, itching of skin, skin rash",low,"How is ascariasis diagnosed? A healthcare provider can diagnose the infection using a stool sample once the worms have reached your intestines. They’ll check for eggs or worms inside your poop. Ascariasis is harder to diagnose when the infection hasn’t spread beyond your lungs yet. If your provider suspects an infection, they may order a chest X-ray to check for changes that may indicate the larvae inside your lungs. Other imaging tests — including ultrasounds , computed tomography (CT) scans and MRIs (magnetic resonance imaging scans) — can produce detailed images that show worms in places like your ducts. They can show how severe your infection is.","0.916, 0.722, 0.472, 0.472",,https://my.clevelandclinic.org/health/diseases/14071-ascariasis,,TRUE,Genetics / Genomic Medicine,Studies inherited conditions and genetic mutations that affect health and development.,,,
7,achalasia,Achalasia (ay·kuh· lay ·zhuh) or cardiospasm is a rare esophageal disorder that develops when your esophagus doesn’t move food and liquid to your stomach like it should.,respiratory,,"chest tightness, cough, throat feels tight, difficulty in swallowing, sharp chest pain",low,How do healthcare providers diagnose cardiospasm? A healthcare provider will do a physical exam . They’ll ask you to describe your symptoms and how long you’ve had them. Providers commonly use these three tests to diagnose cardiospasm: Esophagram test (barium swallow) Esophageal manometry test Upper endoscopy,"0.845, 0.773, 0.678, 0.523, 0.5",,https://my.clevelandclinic.org/health/diseases/17534-achalasia,,TRUE,Hematology,"Specializes in diseases of the blood and blood-forming organs, including anemia, clotting disorders, and leukemia.",,,
8,acne,"Acne is a common skin condition where the pores of your skin clog. Pore blockages produce blackheads, whiteheads and other types of pimples. Pimples are pus-filled, sometimes painful, bumps on your skin.",dermatology,,"irregular appearing scalp, skin dryness/peeling/scaliness or roughness, long menstrual periods, abnormal appearing skin, skin rash",low,"How is acne diagnosed? A healthcare provider can diagnose acne during a skin exam. During this exam, a provider will closely look at your skin to learn more about your symptoms. In addition, they may also ask about risk factors for acne, like: Are you feeling stressed? Do you have a family history of acne? Do you notice breakouts during your menstrual cycle? What medications do you currently take? Your healthcare provider won’t need to run any diagnostic tests for acne, but they may offer tests to diagnose any underlying conditions if you have sudden, severe acne outbreaks, especially if you’re an adult. Who treats acne? A general healthcare provider or a dermatologist can diagnose and treat acne. If you have stubborn acne that doesn’t improve with treatment, a dermatologist can help. How severe can acne get? Dermatologists rank acne by severity: Grade 1 (mild) : Mostly whiteheads and blackheads, with a few papules and pustules. Grade 2 (moderate or pustular acne) : Multiple papules and pustules, mostly on your face. Grade 3 (moderately severe or nodulocystic acne) : Numerous papules and pustules, along with occasionally inflamed nodules. Your back and chest may also be affected. Grade 4 (severe nodulocystic acne) : Numerous large, painful and inflamed pustules and nodules. Advertisement","0.691, 0.679, 0.669, 0.548, 0.528",,https://my.clevelandclinic.org/health/diseases/12233-acne,,TRUE,Infectious Diseases,"Focuses on illnesses caused by microorganisms such as bacteria, viruses, fungi, and parasites.",,,
